,fit_Kmax,fit_Ku,fit_Vhalf,error,ref_Kmax,ref_Ku,ref_Vhalf
0,99.99997935641285,0.0651340436536239,-148.11422991974368,6.706899996640829e-08,100.0,0.06513555624326307,-150.25
0,99.99995901819538,0.06513601616189446,-100.49964136024151,5.3882023301747536e-08,100.0,0.06513555624326307,-100.5
0,100.00015257461739,0.06513643972691754,-50.750840395371,4.447108518180265e-08,100.0,0.06513555624326307,-50.75
0,100.00010536572454,0.06514377490499383,-1.0000549815550086,4.675709722076862e-08,100.0,0.06513555624326307,-1.0
0,99.99979946512128,1.0130389966767854,-149.03094072871244,1.2811267526962707e-07,100.0,1.0,-200.0
0,100.00001679617115,1.0001702301187787,-147.9814617795924,6.838556048588567e-08,100.0,1.0,-150.25
0,100.00013568260034,0.9999291653538123,-100.5000941716752,5.102889169273523e-08,100.0,1.0,-100.5
0,99.99998436107556,0.99697768621857,-50.7497080411318,5.513421321019359e-08,100.0,1.0,-50.75
0,100.00048622914926,0.9945943288067035,-1.0001342891488407,5.4998501395300123e-08,100.0,1.0,-1.0
0,9999.91397621761,1.8000167051652354e-05,-146.5888771973218,1.2254833742780548e-07,10000.0,1.8000000000000017e-05,-200.0
0,9999.996361013727,1.7999994210966868e-05,-149.054056812766,8.747596634037588e-08,10000.0,1.8000000000000017e-05,-150.25
0,9999.976630280804,1.8000060697909047e-05,-100.49852254782849,8.197016063416254e-08,10000.0,1.8000000000000017e-05,-100.5
0,9999.996833215471,1.8000030117100193e-05,-50.75011196148114,1.1708315340224213e-07,10000.0,1.8000000000000017e-05,-50.75
0,10000.01126178943,1.7999978549670756e-05,-1.0000231841884635,7.796659215820903e-08,10000.0,1.8000000000000017e-05,-1.0
0,9999.993109429417,0.0002763470089466337,-161.84850932346393,5.840414469034637e-08,10000.0,0.0002763467610958146,-200.0
0,9999.991808496887,0.00027634671120685227,-148.91092384660118,5.829537425128855e-08,10000.0,0.0002763467610958146,-150.25
0,9999.999879863255,0.00027634645372307865,-100.49962740050073,4.921224878239286e-08,10000.0,0.0002763467610958146,-100.5
0,9999.99752027264,0.00027634711442620167,-50.74969404519928,6.593873577454901e-08,10000.0,0.0002763467610958146,-50.75
0,10000.000056043162,0.0002763466390690373,-1.0000020836234282,5.80401819388445e-08,10000.0,0.0002763467610958146,-1.0
0,9999.995158007601,0.00424262530555419,-162.58599764300672,3.521539408061099e-08,10000.0,0.0042426406871192875,-200.0
0,9999.99890674921,0.004242639235089595,-150.19501465966982,2.7326322789525488e-08,10000.0,0.0042426406871192875,-150.25
0,10000.001102271748,0.0042426484445171175,-100.50019582782085,1.943330194586323e-08,10000.0,0.0042426406871192875,-100.5
0,9999.998631695664,0.004242637448810306,-50.75000338153629,2.6811576403996387e-08,10000.0,0.0042426406871192875,-50.75
0,10000.003648559694,0.004242628328933482,-1.0000220023789275,2.6909773197809508e-08,10000.0,0.0042426406871192875,-1.0
0,9999.986922595433,0.06513901051429949,-154.7138816245662,4.843719349786902e-08,10000.0,0.06513555624326307,-200.0
0,9999.99498757632,0.06513683941213656,-149.39506244471883,4.440349272805275e-08,10000.0,0.06513555624326307,-150.25
0,9999.999063322366,0.06513504832653924,-100.50005167017915,4.3564698405108896e-08,10000.0,0.06513555624326307,-100.5
0,10000.002460450822,0.0651369029037675,-50.75035924994634,3.4037145191016444e-08,10000.0,0.06513555624326307,-50.75
0,10000.003406219628,0.065126184681378,-0.999999975647148,3.0391225502117736e-08,10000.0,0.06513555624326307,-1.0
0,9999.984937855439,1.0001548093056787,-156.6356973872801,3.783938854868057e-08,10000.0,1.0,-200.0
0,9999.994429405398,0.9995553445417945,-148.4752304261418,3.979528748863104e-08,10000.0,1.0,-150.25
0,10000.006269055018,0.9986383687120816,-100.50025144269314,3.296140111104594e-08,10000.0,1.0,-100.5
0,10000.000360400525,1.0011780372895904,-50.7499476657266,2.817743784987474e-08,10000.0,1.0,-50.75
0,9999.990948046983,0.9976584219061654,-0.999986075252492,3.186838442082005e-08,10000.0,1.0,-1.0
0,999952.2738563274,1.8001241014945485e-05,-135.83165208809075,2.4253338413553425e-07,1000000.0,1.8000000000000017e-05,-200.0
0,999979.6631727318,1.8000484584222684e-05,-140.17250134082494,1.0462436882283546e-07,1000000.0,1.8000000000000017e-05,-150.25
0,1000002.1250199836,1.7999955356811274e-05,-100.5017098513275,6.071989932041492e-08,1000000.0,1.8000000000000017e-05,-100.5
0,1000003.5297126459,1.799989851427663e-05,-50.75236049767817,6.660617986514801e-08,1000000.0,1.8000000000000017e-05,-50.75
