"engine.time","ikr.IKr","membrane.V"
 3.90000000000000000e+02, 4.82947473761841051e-01, 4.00000000000000000e+01
 4.00000000000000000e+02, 4.82947532373156518e-01, 4.00000000000000000e+01
 4.10000000000000000e+02, 4.82947569317011050e-01, 4.00000000000000000e+01
 4.20000000000000000e+02, 4.82947576427866732e-01, 4.00000000000000000e+01
 4.30000000000000000e+02, 4.82947571216868154e-01, 4.00000000000000000e+01
 4.40000000000000000e+02, 4.82947537219992062e-01, 4.00000000000000000e+01
 4.50000000000000000e+02, 4.82947522638622173e-01, 4.00000000000000000e+01
 4.60000000000000000e+02, 4.82947488138740666e-01, 4.00000000000000000e+01
 4.70000000000000000e+02, 4.82947477917292811e-01, 4.00000000000000000e+01
 4.80000000000000000e+02, 4.82947482887898960e-01, 4.00000000000000000e+01
 4.90000000000000000e+02, 4.82947495434522867e-01, 4.00000000000000000e+01
 5.00000000000000000e+02, 4.82947522801549345e-01, 4.00000000000000000e+01
 5.10000000000000000e+02, 4.82947548644176883e-01, 4.00000000000000000e+01
 5.20000000000000000e+02, 4.82947568227540147e-01, 4.00000000000000000e+01
 5.30000000000000000e+02, 4.82947582792706720e-01, 4.00000000000000000e+01
 5.40000000000000000e+02, 4.82947586918941962e-01, 4.00000000000000000e+01
 5.50000000000000000e+02, 4.82948156990542110e-01, 4.00000000000000000e+01
 5.60000000000000000e+02, 5.69714316638280538e-01, 2.75000000000000000e+01
 5.70000000000000000e+02, 6.79939579364821967e-01, 1.50000000000000000e+01
 5.80000000000000000e+02, 7.87895017725998792e-01, 2.50000000000000000e+00
 5.90000000000000000e+02, 8.78672276759446813e-01,-1.00000000000000000e+01
 6.00000000000000000e+02, 9.31787107374751566e-01,-2.25000000000000000e+01
 6.10000000000000000e+02, 9.23390248477379827e-01,-3.50000000000000000e+01
 6.20000000000000000e+02, 8.30569109644302528e-01,-4.75000000000000000e+01
 6.30000000000000000e+02, 6.35500378313207270e-01,-6.00000000000000000e+01
 6.40000000000000000e+02, 3.56057795614523331e-01,-7.25000000000000000e+01
 6.50000000000000000e+02, 1.62708907598804520e-01,-8.00000000000000000e+01
 6.60000000000000000e+02, 1.32697679675924468e-01,-8.00000000000000000e+01
 6.70000000000000000e+02, 1.08228989905127387e-01,-8.00000000000000000e+01
 6.80000000000000000e+02, 8.82815364728505303e-02,-8.00000000000000000e+01
 6.90000000000000000e+02, 7.20198096112789760e-02,-8.00000000000000000e+01
 7.00000000000000000e+02, 5.87629195935054360e-02,-8.00000000000000000e+01
 7.10000000000000000e+02, 4.79556611477507805e-02,-8.00000000000000000e+01
 7.20000000000000000e+02, 3.91453136552734407e-02,-8.00000000000000000e+01
 7.30000000000000000e+02, 3.19629885164895780e-02,-8.00000000000000000e+01
 7.40000000000000000e+02, 2.61077216160074954e-02,-8.00000000000000000e+01
