,fit_Kmax,fit_Ku,fit_Vhalf,error,ref_Kmax,ref_Ku,ref_Vhalf
0,99.60685904435842,1.7998801226310643e-05,-0.9524023516098219,0.01595570782217189,100.0,1.8000000000000017e-05,-1.0
0,99.73017187393458,0.00027899765792809987,-160.46958293800535,0.015986658322744242,100.0,0.0002763467610958146,-200.0
0,100.0631841175433,0.0002744366266432074,-105.8162068717823,0.01592777027818554,100.0,0.0002763467610958146,-150.25
0,98.80599495554559,0.00027728932181870684,-94.57863373722779,0.015960324614748552,100.0,0.0002763467610958146,-100.5
0,99.76324317201407,0.00027643504542109045,-48.277991564363475,0.016054549345584337,100.0,0.0002763467610958146,-50.75
0,99.99808241918332,0.0002754195450947157,-1.0062466863410595,0.01602073446236651,100.0,0.0002763467610958146,-1.0
0,99.66470661741968,0.004606588849615733,-160.83664196965944,0.016001319686245255,100.0,0.0042426406871192875,-200.0
0,100.01077044679835,0.004214372818725552,-165.89368936821072,0.016057443152387604,100.0,0.0042426406871192875,-150.25
0,99.98248754210289,0.004275783629528808,-105.2252985286047,0.015998715213529392,100.0,0.0042426406871192875,-100.5
0,100.77260391958113,0.004513648414989602,-54.473876578333666,0.01592831818575436,100.0,0.0042426406871192875,-50.75
0,100.38353120893484,0.004234714599587738,-1.2233860307991944,0.016005403667291015,100.0,0.0042426406871192875,-1.0
0,99.86407947808569,0.038899335100759845,-150.96231992437828,0.015955053361571145,100.0,0.06513555624326307,-200.0
0,99.813765980026,0.03083023417909428,-163.24741762339386,0.015988813072208365,100.0,0.06513555624326307,-150.25
0,99.25057907818311,0.030346820751875482,-95.34767239987086,0.01593443597303807,100.0,0.06513555624326307,-100.5
0,99.75235392571611,0.0668977327781503,-50.705127322695915,0.016001741507997456,100.0,0.06513555624326307,-50.75
0,100.67695072567518,0.043620957349664445,-1.4046921055299904,0.015976571163380443,100.0,0.06513555624326307,-1.0
0,99.85322678417057,0.06791559956440577,-129.79925741232435,0.016002637197316386,100.0,1.0,-200.0
0,100.09772138324841,9.562344252214091,-149.69276548702976,0.016058519879240823,100.0,1.0,-150.25
